source	disposition	target_or_reason
MEMORY	DROP	index file (injected MEMORY.md or a sub-index); no lesson content
a-backend-carried-widening-is-sound-iff-every-scalar-read-reruns-the-fail-closed-guard-and-you-must-census-every-reader-of-the-seat	DUP	agent/memory/CHECKS.md#2
a-backend-outage-drops-a-handoff-and-the-ring-then-looks-merely-idle	DROP	convo-outage incident; false-idle-under-outage already covered loosely by fleet outage/idle corpus
a-background-publisher-in-your-worktree-races-your-next-git-commit	DROP	steward git-race incident; covered loosely by existing steward publisher-window corpus
a-background-publisher-survives-your-compaction-so-pgrep-before-restarting	DROP	same family; covered loosely by existing steward publisher-window corpus
a-backgrounded-job-completion-fires-no-event-so-the-launcher-owns-re-entry	DROP	same family; covered loosely by existing fleet backgrounded-job/idle corpus
a-balanced-budget-is-not-evidence-of-a-complete-encoding	DUP	agent/memory/build/a-check-that-measures-a-proxy-passes-for-the-wrong-reason.md
a-bans-witness-is-never-among-the-tests-its-introduction-reddened	DUP	agent/memory/fleet/a-negative-check-passes-for-any-reason-so-it-needs-a-positive-control.md
a-bare-read-or-grep-on-a-spec-path-answers-about-your-working-tree-not-the-review-sha	DUP	agent/memory/fleet/publish-a-coordinate-from-the-git-object-and-name-the-sha-you-read.md
a-baseline-anchor-must-have-zero-of-the-change-and-a-wip-seam-is-not-one	DUP	agent/memory/fleet/a-claim-accurate-about-something-narrower-than-its-reader-infers.md
a-batch-instrument-keyed-on-an-artifact-is-blind-to-work-that-never-produced-one	DUP	agent/memory/fleet/an-enumeration-needs-a-proven-closure-not-a-better-grep.md
a-behavior-inert-observer-scaffolding-landing-in-the-native-backend-is-clean-when-emitted-clif-is-byte-identical-the-artifact-is-write-only-and-new-error-sites-are-redundant-with-existing-invariants	DROP	too specific to one cranelift-backend WP-class; general additive/inert-verification points covered by cited existing siblings
a-behaviour-preserving-refactors-green-suite-says-nothing-about-what-it-added	DUP	agent/memory/CHECKS.md#8
a-bijection-shape-check-is-not-an-identity-check-a-column-permutation-is-invisible-to-it	DUP	agent/memory/CHECKS.md#8
a-binder-run-can-look-uniform-and-be-two-contracts	DUP	agent/memory/CHECKS.md#6
